name,lat,lon
PROVIDENCE ST JOSEPH HOSPITAL,34.1562348,-118.328523556809
NEWPORT COMMUNITY HOSPITAL,48.1823168,-117.049350487429
EAST ADAMS RURAL HOSPITAL,47.12126505,-118.37183223932
PROSSER MEMORIAL HOSPITAL,46.208043,-119.76386501734
CASCADE MEDICAL CENTER,47.594453,-120.66095731175
OCEAN BEACH HOSPITAL,46.31165225,-124.042472621859
SKYLINE HOSPITAL,45.72235395,-121.471012920142
KLICKITAT VALLEY HOSPITAL,45.81998995,-120.811052314627
COLUMBIA BASIN HOSPITAL,47.3141315,-119.544111
OTHELLO COMMUNITY HOSPITAL,46.83008665,-119.15526465
MORTON GENERAL HOSPITAL,,
QUINCY VALLEY HOSPITAL,47.2310464,-119.868094308024
NORTH VALLEY HOSPITAL,48.7069528,-119.438589772301
FERRY COUNTY MEMORIAL HOSPITAL,48.65287595,-118.731155074115
JEFFERSON HEALTHCARE,38.24733965,-85.7999808223746
THREE RIVERS HOSPITAL,48.10630365,-119.782569355409
FORKS COMMUNITY HOSPITAL,47.94636525,-124.393265154867
PROVIDENCE MOUNT CARMEL HOSPITAL,48.5406611,-117.892146500033
WHITMAN HOSPITAL AND MEDICAL CENTER,,
MID VALLEY HOSPITAL,41.480823,-75.596063
PEACEHEALTH UNITED GENERAL MEDICAL CENTER,48.4959111,-122.275966379893
SUNNYSIDE COMMUNITY HOSPITAL,,
PULLMAN REGIONAL HOSPITAL,46.71270795,-117.168967933423
TRI-STATE MEMORIAL HOSPITAL,46.40229835,-117.054673618051
KITTITAS VALLEY COMMUNITY HOSPITAL,46.98766565,-120.538064375901
LAKE CHELAN COMMUNITY HOSPITAL,47.84468905,-120.009654549011
ST ELIZABETH HOSPITAL,44.2482993,-88.4040378
MASON GENERAL HOSPITAL & FAMILY OF CLINICS,,
LOURDES MEDICAL CENTER,46.2351094,-119.095376967149
SNOQUALMIE VALLEY HOSPITAL,47.51271215,-121.885816288825
WHIDBEY GENERAL HOSPITAL,,
PEACEHEALTH PEACE ISLAND MEDICAL CENTER,48.52665095,-123.029555671243
SEATTLE CHILDREN'S HOSPITAL,47.66311535,-122.282532007853
MARY BRIDGE CHILDREN'S HOSPITAL,47.2586957,-122.452814647265
SHRINERS HOSPITAL FOR CHILDREN,38.63246505,-90.2579483516916
WEST VIRGINIA UNIVERSITY HOSPITALS,39.65446155,-79.9590663165225
GREENBRIER VALLEY MEDICAL CENTER,37.7728299,-80.4703180272041
UNITED HOSPITAL CENTER,39.32912275,-80.2398812818462
ST MARY'S MEDICAL CENTER,38.43118585,-82.4004817274412
BERKELEY MEDICAL CENTER,39.47478425,-77.9807026890449
PLEASANT VALLEY HOSPITAL,38.86897995,-82.1236099678131
REYNOLDS MEMORIAL HOSPITAL,39.94608535,-80.7529187849221
CHARLESTON AREA MEDICAL CENTER,38.3300954,-81.6027232239115
WEIRTON MEDICAL CENTER,40.39313205,-80.527930767036
MONONGALIA COUNTY GENERAL HOSPITAL,,
